Program+Function,Workers,CPU%,Mem%,IO_Read(kB/s),IO_Write(kB/s),Time(s)
MT25083_Part_A_Program_A_cpu,2,33.4,0.1,52.1936,56.8164,6.45180320739746
MT25083_Part_A_Program_A_cpu,3,24.9501,0.1,39.133,41.352,9.71509146690369
MT25083_Part_A_Program_A_cpu,4,19.9537,0.1,31.3085,31.7881,12.6232998371124
MT25083_Part_A_Program_A_cpu,5,16.6366,0.1,27.2991,25.335,16.1151218414307
MT25083_Part_A_Program_A_cpu,6,14.254,0.1,25.5515,22.3225,19.101363658905
MT25083_Part_A_Program_A_cpu,7,12.456,0.1,21.8409,20.2623,22.0275073051453
MT25083_Part_A_Program_A_cpu,8,11.0658,0.1,19.7329,17.7367,25.4899337291718
MT25083_Part_A_Program_A_io,2,18.8,0.1,334.81,376.65,0.288878440856934
MT25083_Part_A_Program_A_io,3,12.26,0.1,334.785,376.625,0.314461231231689
MT25083_Part_A_Program_A_io,4,21.0875,0.1,263.38,188.3,1.3895480632782
MT25083_Part_A_Program_A_io,5,19.2546,0.1,54.1467,34.2104,11.1484689712524
MT25083_Part_A_Program_A_io,6,16.322,0.1,27.0235,21.4028,19.6842682361603
MT25083_Part_A_Program_A_io,7,14.1391,0.1,29.4545,21.0336,20.1004657745361
MT25083_Part_A_Program_A_io,8,12.2469,0.1,13.901,18.4402,24.4648222923279
MT25083_Part_A_Program_A_mem,2,11.9766,8.326,30.5478,26.5109,15.2886309623718
MT25083_Part_A_Program_A_mem,3,13.8783,9.40058,971.291,23.9961,18.8863592147827
MT25083_Part_A_Program_A_mem,4,12.0615,10.0684,14.211,18.2114,24.220710515976
MT25083_Part_A_Program_A_mem,5,11.4701,10.3675,12.9148,17.5574,26.9525256156921
MT25083_Part_A_Program_A_mem,6,9.93975,10.7394,12.0542,14.7314,31.2775976657867
MT25083_Part_A_Program_A_mem,7,10.9678,10.7422,5270.39,5706.38,31.8465027809143
MT25083_Part_A_Program_A_mem,8,7.50534,10.1372,62629.4,61071.3,57.7982556819916
MT25083_Part_A_Program_B_cpu,2,100.092,0.1,140.466,91.9807,6.43009495735168
MT25083_Part_A_Program_B_cpu,3,99.7419,0.1,256.711,65.9745,9.72983002662659
MT25083_Part_A_Program_B_cpu,4,99.8107,0.1,237.268,50.7154,12.65416431427
MT25083_Part_A_Program_B_cpu,5,100.024,0.1,115.817,42.2634,15.6481416225433
MT25083_Part_A_Program_B_cpu,6,99.9536,0.1,169.791,35.5771,19.039576292038
MT25083_Part_A_Program_B_cpu,7,99.9682,0.1,909.557,30.0454,22.3106536865234
MT25083_Part_A_Program_B_cpu,8,99.9604,0.1,36.6804,27.1423,25.174877166748
MT25083_Part_A_Program_B_io,2,50,0.1,588.74,621.145,0.215137481689453
MT25083_Part_A_Program_B_io,3,55.35,0.1,588.71,621.11,0.322924613952637
MT25083_Part_A_Program_B_io,4,87.1636,0.1,295.332,310.535,1.2635281085968
MT25083_Part_A_Program_B_io,5,97.5103,0.1,67.1932,59.7259,10.3354375362396
MT25083_Part_A_Program_B_io,6,98.2065,0.1,36.9509,40.4721,16.1275107860565
MT25083_Part_A_Program_B_io,7,97.661,0.1,37.2939,31.2582,21.6724858283997
MT25083_Part_A_Program_B_io,8,98.057,0.1,55.3144,27.0215,25.5759270191193
MT25083_Part_A_Program_B_mem,2,27.3952,25.281,44.6861,47.8179,13.6328186988831
MT25083_Part_A_Program_B_mem,3,56.1975,36.6411,41.0647,38.0386,17.4587020874023
MT25083_Part_A_Program_B_mem,4,60.759,48.9215,34.8248,31.0805,21.5320420265198
MT25083_Part_A_Program_B_mem,5,65.6955,61.5931,24.232,25.8774,26.3421139717102
MT25083_Part_A_Program_B_mem,6,69.362,73.9661,24.4527,23.2077,29.1937694549561
MT25083_Part_A_Program_B_mem,7,81.438,85.5957,4763.72,4046.83,32.7487461566925
MT25083_Part_A_Program_B_mem,8,74.3603,87.6103,45503,42818.1,55.9195437431335
