impl,size,threads,throughput,latency,cycles,cache_misses,context_switches
A1,256,1,0.043480,376.818,803508455,188045,190
A1,256,2,0.083337,196.599,1598669653,505040,272
A1,256,4,0.158700,103.239,2955040852,912908,550
A1,256,8,0.291892,56.130,5643914327,1743128,971
A1,512,1,0.040472,404.826,745810650,185732,139
A1,512,2,0.083375,196.510,1605999290,570080,325
A1,512,4,0.152121,107.704,2814783257,905861,604
A1,512,8,0.281104,58.285,5349938473,1725786,1094
A1,1024,1,0.037136,441.189,733609922,193617,136
A1,1024,2,0.071613,228.786,1327649931,427409,228
A1,1024,4,0.143832,113.911,2638652807,879686,459
A1,1024,8,0.269761,60.735,5089528567,1712420,986
A1,4096,1,0.034839,470.278,633401618,180002,111
A1,4096,2,0.069450,235.910,1287235761,465641,224
A1,4096,4,0.133553,122.678,2466311376,842712,451
A1,4096,8,0.245753,66.668,4695440309,1589145,877
A2,256,1,0.031796,515.278,626846688,213412,109
A2,256,2,0.065695,249.395,1206973169,401309,217
A2,256,4,0.128419,127.582,2375018633,795758,419
A2,256,8,0.244212,67.089,4705394124,1558537,946
A2,512,1,0.031664,517.438,583155119,190551,129
A2,512,2,0.060464,270.973,1122772874,406508,208
A2,512,4,0.121523,134.822,2300328613,815691,462
A2,512,8,0.234719,69.803,4417660712,1493933,924
A2,1024,1,0.030425,538.503,574852036,202077,102
A2,1024,2,0.058547,279.846,1076912197,373407,193
A2,1024,4,0.110969,147.645,2047809877,715563,353
A2,1024,8,0.216921,75.530,4099040549,1405174,788
A2,4096,1,0.028349,577.934,526126076,173774,92
A2,4096,2,0.056818,288.359,1042800220,364630,186
A2,4096,4,0.110759,147.925,2067315536,761119,379
A2,4096,8,0.206719,79.258,3893590862,1224236,667
A3,256,1,0.028028,584.556,519420294,181344,88
A3,256,2,0.053825,304.395,997513581,365060,174
A3,256,4,0.104330,157.040,1935114082,682513,357
A3,256,8,0.200727,81.623,3764742802,1164511,704
A3,512,1,0.024134,678.887,474924397,194547,84
A3,512,2,0.050728,322.977,940583402,337090,158
A3,512,4,0.102467,159.895,1892663123,648830,331
A3,512,8,0.193582,84.636,3619417560,1160311,709
A3,1024,1,0.026598,615.991,491438717,200356,123
A3,1024,2,0.051128,320.451,950590237,361003,204
A3,1024,4,0.098751,165.912,1823201642,646457,435
A3,1024,8,0.190577,85.970,3572269927,1112124,761
A3,4096,1,0.024715,662.910,448502409,151725,77
A3,4096,2,0.048321,339.064,893211336,344081,158
A3,4096,4,0.092632,176.872,1743495973,624995,344
A3,4096,8,0.181373,90.333,3430967983,1036011,647
